STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,296759974,8298929,0.03,288461045,
2,AAM,0.49,6049741,109268,0.01,5940473,
3,AAT,0.50,17400000,52,0.00,17394800,
4,ABS,0.00,0,1709,0.00,-1709,
5,ACB,0.30,810584422,810584397,0.30,25,
6,ACC,0.49,14700000,3656527,0.12,11043473,
7,ACL,0.40,19832876,1631561,0.03,18201315,
8,ADG,0.65,11700216,7551145,0.42,4149071,
9,ADS,0.50,14034725,569907,0.02,13464818,
10,AGG,0.50,41375288,11002336,0.13,30372952,
11,AGM,0.49,8918000,1150870,0.06,7767130,
12,AGR,0.49,103880000,867479,0.00,103012521,
13,AMD,0.49,80117388,2470095,0.02,77647293,
14,ANC11601,1.00,13000000,0,0.00,13000000,
15,ANC11607,1.00,7000000,0,0.00,7000000,
16,ANV,0.49,62494416,1429601,0.01,61064815,
17,APC,0.49,9859483,3092739,0.15,6766744,
18,APG,1.00,73153306,638451,0.01,72514855,
19,APH,1.00,202422322,74472628,0.37,127949694,
20,ASM,0.49,126845246,2713915,0.01,124131331,
21,ASP,0.49,18296565,18296493,0.49,72,
22,AST,0.49,22050000,19138822,0.43,2911178,
23,ATP,1.00,15000000,0,0.00,15000000,(*)
24,BCE,0.49,17150000,738514,0.02,16411486,
25,BCG,0.36,74256800,11807025,0.06,62449775,
26,BCM,0.49,507150000,20849960,0.02,486300040,
27,BFC,0.49,28012316,2126240,0.04,25886076,
28,BHN,0.49,113582000,40397930,0.17,73184070,
29,BIC,0.49,57465678,54924617,0.47,2541061,
30,BID,0.30,1206605412,670332296,0.17,536273116,
31,BID10406,1.00,3500620,0,0.00,3500620,
32,BID11908,1.00,5000000,500,0.10,4500000,
33,BKG,0.49,15680000,1045,0.00,15575500,
34,BMC,0.49,6072388,1230426,0.10,4841962,
35,BMI,0.49,44763478,29336049,0.32,15427429,
36,BMP,1.00,81860938,68767635,0.84,13093303,
37,BRC,0.49,6063748,6342,0.01,6000328,
38,BTP,0.49,29637944,5859820,0.10,23778124,
39,BTT,0.49,6615000,629443,0.05,5985557,
40,BVH,0.49,363738154,200445044,0.27,163293110,
41,BWE,0.49,94530800,33996640,0.18,60534160,
42,C32,0.49,7364771,1615589,0.11,5749182,
43,C47,0.49,9173850,14221,0.00,9159629,
44,CCI,0.00,0,43175,0.02,-43175,
45,CCL,0.49,23274943,752836,0.02,22522107,
46,CDC,0.49,10774470,120121,0.01,10654349,
47,CEE,0.49,20335000,235,0.00,20332650,
48,CFPT2102,1.00,1000000,10,0.01,990,
49,CFPT2103,1.00,5000000,7,0.00,4993000,
50,CFPT2104,1.00,7000000,3,0.00,6997000,
51,CFPT2105,1.00,12000000,0,0.00,11938900,
52,CHDB2101,1.00,2000000,1363,0.07,1863700,
53,CHDB2102,1.00,4000000,3151400,0.79,8486,
54,CHP,0.49,71987207,5612015,0.04,66375192,
55,CHPG2101,1.00,2000000,93,0.00,1990700,
56,CHPG2109,1.00,1000000,0,0.00,1000000,
57,CHPG2110,1.00,10000000,0,0.00,10000000,
58,CHPG2111,1.00,25000000,0,0.00,24855000,
59,CIG,0.49,15454574,355,0.00,15451024,
60,CII,0.70,198246704,63379528,0.22,134867176,
61,CKDH2101,1.00,2000000,98,0.00,1990200,
62,CKDH2103,1.00,4000000,2936600,0.73,1063400,
63,CKG,0.49,40424892,1202420,0.01,39222472,
64,CLC,0.49,12841715,538226,0.02,12303489,
65,CLL,0.49,16660000,2513161,0.07,14146839,
66,CLW,0.49,6370000,62229,0.05,5747710,
67,CMBB2103,1.00,5000000,0,0.00,4991300,
68,CMG,0.49,48999934,38219640,0.38,10780294,
69,CMSN2101,1.00,2000000,591,0.03,1940900,
70,CMSN2102,1.00,2000000,2,0.00,1998000,
71,CMSN2104,1.00,5000000,0,0.00,5000000,
72,CMSN2105,1.00,12000000,0,0.00,12000000,
73,CMSN2106,1.00,4000000,2646000,0.66,1354000,
74,CMV,0.49,8896375,35488,0.00,8860887,
75,CMWG2104,1.00,5000000,53,0.00,4994700,
76,CMWG2106,1.00,5000000,28,0.00,4997200,
77,CMWG2107,1.00,7000000,0,0.00,6997800,
78,CMX,0.50,15204375,6077421,0.20,9126954,
79,CNG,0.49,13230000,1382651,0.05,11847349,
80,CNVL2101,1.00,2000000,738,0.04,1926200,
81,CNVL2102,1.00,3000000,9685,0.32,2031500,
82,COM,0.49,6919107,5722,0.00,6861887,
83,CPDR2102,1.00,5000000,4478400,0.90,5216,
84,CPNJ2104,1.00,5000000,177,0.00,4982300,
85,CPNJ2105,1.00,10000000,0,0.00,9997000,
86,CRC,0.50,7500000,27827,0.02,7221730,
87,CRE,0.49,47039954,3114227,0.03,43925727,
88,CSBT2101,1.00,2000000,0,0.00,2000000,
89,CSM,0.49,50776968,1002466,0.01,49774502,
90,CSTB2101,1.00,2000000,0,0.00,2000000,
91,CSTB2105,1.00,1000000,4,0.00,996,
92,CSTB2106,1.00,10000000,9080600,0.91,9194,
93,CSV,0.49,21658000,5678964,0.13,15979036,
94,CTCB2101,1.00,2000000,709,0.04,1929100,
95,CTCB2105,1.00,10000000,0,0.00,10000000,
96,CTCH2101,1.00,2000000,0,0.00,2000000,
97,CTD,0.49,38834950,34724141,0.44,4110809,
98,CTF,0.49,33467000,321768,0.00,33145232,
99,CTG,0.30,1441725182,1171709760,0.24,270015422,
