Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"221,759,974",50%,100%
2,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,"80,000,000",35%,100%
3,ACC,CTCP Đầu tư và XD Bình Dương ACC,"30,000,000",25%,100%
4,ACL,CTCP XNK Thủy Sản Cửu Long An Giang,"50,159,019",25%,100%
5,ADS,CTCP DAMSAN,"28,069,450",50%,100%
6,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,"82,651,160",65%,100%
7,AGM,CTCP Xuất Nhập Khẩu An Giang,"18,200,000",20%,100%
8,AGR,CTCP Chứng khoán Argibank,"211,199,953",25%,100%
9,AMD,CTCP Đầu tư và Khoáng sản FLC STONE,"163,504,874",100%,100%
10,ANV,CTCP Nam Việt ( Navico ),"127,127,875",20%,100%
11,APC,CTCP Chiếu Xạ An Phú,"19,905,025",35%,100%
12,APG,CTCP Chứng Khoán APG,"34,028,900",90%,100%
13,ASM,CTCP Tập Đoàn Sao Mai,"258,867,849",55%,100%
14,ASP,CTCP Tập Đoàn Dầu Khí Anpha,"37,339,542",45%,100%
15,AST,CTCP Dịch vụ Hàng không Taseco,"45,000,000",35%,100%
16,BCE,CTCP Xây Dựng và Giao Thông Bình Dương,"35,000,000",55%,100%
17,BCG,CTCP Bamboo Capital,"203,468,140",50%,100%
18,BFC,CTCP Phân bón Bình Điền,"57,167,993",35%,100%
19,BIC,Tổng CTCP Bảo Hiểm NH Đầu Tư và Phát Triển Việt Nam,"117,276,895",15%,100%
20,BID,Ngân hàng TMCP Đầu Tư và Phát triển Việt Nam,"4,022,018,040",4%,100%
21,BMC,CTCP Khoáng Sản Bình Định,"12,392,630",55%,100%
22,BMI,Tổng CTCP Bảo Minh,"91,354,037",25%,100%
23,BMP,CTCP Nhựa Bình Minh,"81,860,938",45%,100%
24,BTP,CTCP Nhiệt Điện Bà Rịa,"60,485,600",20%,100%
25,BVH,Tập Đoàn Bảo Việt,"742,322,764",10%,100%
26,BWE,CTCP Nước - Môi trường Bình Dương,"187,500,000",30%,100%
27,C32,CTCP CIC39,"15,030,145",90%,100%
28,C47,CTCP Xây Dựng 47,"18,722,143",75%,100%
29,CCL,CTCP Đầu Tư và Phát Triển Đô Thị Dầu Khí Cửu Long,"47,499,885",65%,100%
30,CDC,CTCP Chương Dương,"21,988,716",60%,100%
31,CEE,CTCP Xây dựng hạ tầng CII,"39,500,000",15%,100%
32,CII,CTCP Đầu Tư Hạ Tầng Kỹ Thuật TP.HCM,"238,838,282",80%,100%
33,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,"82,499,781",70%,100%
34,CLC,CTCP Cát Lợi,"26,207,583",45%,100%
35,CMG,CTCP Tập Đoàn Công Nghệ CMC,"99,999,866",35%,100%
36,CMX,CTCP Camimex Group,"30,408,751",45%,100%
37,CNG,CTCP CNG Việt Nam,"26,999,673",45%,100%
38,CRC,CTCP Create Capital Việt Nam,"15,000,000",80%,100%
39,CRE,CTCP Bất động sản Thế Kỷ,"95,999,800",45%,100%
40,CSM,CTCP Công Nghiệp Cao Su Miền Nam,"103,625,262",30%,100%
41,CSV,CTCP Hóa chất Cơ bản miền Nam,"44,200,000",35%,100%
42,CTD,CTCP Xây Dựng Coteccons,"74,283,673",50%,100%
43,CTF,CTCP City Auto,"68,300,000",60%,100%
44,CTG,Ngân Hàng TMCP Công Thương Việt Nam,"3,723,404,556",20%,100%
45,CTI,CTCP Đầu Tư Phát Triển Cường Thuận Idico,"54,799,997",90%,100%
46,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"106,399,614",25%,100%
47,CVT,CTCP CMC,"36,690,887",40%,100%
48,D2D,CTCP Phát Triển Đô Thị Công Nghiệp Số 2,"30,259,742",40%,100%
49,DAG,CTCP Tập Đoàn Nhựa Đông Á,"59,562,860",50%,100%
50,DAH,CTCP Tập đoàn Khách sạn Đông Á,"34,200,000",70%,100%
51,DBC,CTCP Tập đoàn DABACO Việt Nam,"104,763,911",75%,100%
52,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định,"52,338,915",80%,100%
53,DCL,CTCP Dược Phẩm Cửu Long,"56,832,824",30%,100%
54,DCM,CTCP Phân bón Dầu khí Cà Mau,"529,400,000",25%,100%
55,DGW,CTCP Thế Giới Số,"43,000,278",50%,100%
56,DHA,CTCP Hóa An,"14,726,073",55%,100%
57,DHC,CTCP Đông hải Bến Tre,"55,995,783",75%,100%
58,DHM,CTCP TM và Khai thác Khoáng sản Dương Hiếu,"31,396,180",75%,100%
59,DIG,Tổng CTCP Đầu Tư Phát Triển Xây Dựng,"346,792,856",45%,100%
60,DMC,CTCP XNK Y Tế Domesco,"34,727,465",14%,100%
61,DPG,CTCP Đạt Phương,"43,499,810",50%,100%
62,DPM,Tổng CT Phân Bón và Hóa Chất Dầu Khí - CTCP,"391,334,260",40%,100%
63,DPR,CTCP Cao Su Đồng Phú,"40,124,790",45%,100%
64,DQC,CTCP Bóng đèn Điện Quang,"27,558,066",45%,100%
65,DRC,CTCP Cao Su Đà Nẵng,"118,792,605",50%,100%
66,DRH,CTCP DRH Holdings,"60,353,933",100%,100%
67,DSN,CTCP Công Viên Nước Đầm Sen,"12,083,009",60%,100%
68,DTA,CTCP Đệ Tam,"18,059,832",60%,100%
69,DVP,CTCP Đầu Tư và Phát Triển Cảng Đình Vũ,"40,000,000",30%,100%
70,DXG,CTCP Tập đoàn Đất Xanh,"518,287,181",85%,100%
71,DXV,CTCP Vicem VLXD Đà Nẵng,"9,900,000",35%,100%
72,EIB,Ngân hàng TMCP XNK Việt Nam,"1,229,432,904",85%,100%
73,ELC,CTCP Đầu Tư Phát Triển Công Nghệ Điện Tử Viễn thông,"50,618,648",60%,100%
74,EVE,CTCP Everpia,"38,047,973",80%,100%
75,EVG,CTCP Tập đoàn Everland,"105,000,000",50%,100%
76,FCM,CTCP Khoáng sản FECON,"41,000,000",35%,100%
77,FCN,CTCP Fecon,"125,439,005",75%,100%
78,FIR,CTCP Địa ốc First Real,"27,039,864",55%,100%
79,FIT,CTCP Tập đoàn F.I.T,"254,730,247",40%,100%
80,FLC,CTCP Tập Đoàn FLC,"709,997,807",70%,100%
81,FMC,CTCP Thực Phẩm Sao Ta,"58,850,000",30%,100%
82,FPT,CTCP FPT,"783,905,110",80%,100%
83,FRT,CTCP Bán lẻ Kỹ thuật số FPT,"78,981,792",55%,100%
84,FTS,CTCP Chứng khoán FPT,"132,264,552",50%,100%
85,GAB,CTCP Đầu tư khai khoáng và Quản lý tài sản FLC,"13,800,000",50%,100%
86,GAS,Tổng Công ty Khí Việt Nam - CTCP,"1,913,950,000",5%,100%
87,GDT,CTCP Chế Biến Gỗ Đức Thành,"16,867,808",60%,100%
88,GEG,CTCP Điện Gia Lai,"271,175,188",30%,100%
89,GEX,Tổng CTCP Thiết bị điện Việt Nam,"488,244,000",70%,100%
90,GIL,CTCP SXKD XNK Bình Thạnh,"35,983,800",65%,100%
91,GMC,CTCP Garmex Sài Gòn,"29,956,020",40%,100%
92,GMD,CTCP Gemadept,"301,377,957",85%,100%
93,GTN,CTCP GTNFOODS,"250,000,000",25%,100%
94,HAG,CTCP Hoàng Anh Gia Lai,"927,399,283",65%,100%
95,HAH,CTCP Vận tải và Xếp dỡ Hải An,"47,392,798",75%,100%
96,HAI,CTCP Nông Dược Hai,"182,682,799",90%,100%
97,HAP,CTCP Tập Đoàn Hapaco,"55,471,151",85%,100%
98,HAR,CTCP Đầu tư Thương Mại Bất Động Sản An Dương Thảo Điền,"95,684,090",60%,100%
99,HAX,CTCP Dịch Vụ Ôtô Hàng Xanh,"36,744,399",60%,100%
100,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,"230,875,398",70%,100%
101,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,"27,000,000",85%,100%
102,HCM,CTCP Chứng Khoán TPHCM,"305,041,845",45%,100%
103,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"1,593,767,296",70%,100%
104,HDC,CTCP Phát Triển Nhà Bà Rịa Vũng Tàu,"66,515,837",80%,100%
105,HDG,CTCP Tập Đoàn Hà Đô,"154,275,018",55%,100%
106,HHS,CTCP Đầu Tư Dịch Vụ Hoàng Huy,"274,744,063",50%,100%
107,HII,CTCP An Tiến Industries,"32,027,500",35%,100%
108,HMC,CTCP Kim Khí TPHCM - VNSTEEL,"21,000,000",30%,100%
109,HNG,CTCP Nông Nghiệp Quốc tế Hoàng Anh Gia Lai,"1,108,553,895",45%,100%
110,HPG,CTCP Tập Đoàn Hòa Phát,"3,313,282,659",55%,100%
111,HPX,CTCP Đầu tư Hải Phát,"264,494,582",55%,100%
112,HQC,CTCP TV-TM-DV Địa Ốc Hoàng Quân,"476,599,274",75%,100%
113,HSG,CTCP Tập Đoàn Hoa Sen,"444,625,213",80%,100%
114,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,"17,167,144",80%,100%
115,HT1,CTCP Xi Măng Hà Tiên 1,"381,541,911",20%,100%
116,HTI,CTCP Đầu Tư Phát Triển Hạ Tầng Idico,"24,949,200",40%,100%
117,HTN,CTCP Hưng Thịnh Incons,"49,593,326",35%,100%
118,HUB,CTCP Xây lắp Thừa Thiên Huế,"19,057,316",50%,100%
119,HVH,CTCP Đầu tư và công nghệ HVC,"36,949,995",50%,100%
120,IBC,CTCP Đầu tư Apax Holdings,"81,589,735",30%,100%
121,ICT,CTCP Viễn thông - Tin học Bưu điện,"32,185,000",55%,100%
122,IDI,CTCP Đầu Tư và Phát Triển Đa Quốc Gia I.D.I,"227,644,608",45%,100%
123,IJC,CTCP Phát Triển Hạ Tầng kỹ Thuật,"217,097,323",50%,100%
124,ILB,CTCP ICD Tân Cảng - Long Bình,"24,502,245",40%,100%
125,IMP,CTCP Dược Phẩm Imexpharm,"66,671,570",50%,100%
