Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"326,434,496",55%,100%
2,AAM,CTCP Thủy Sản Mekong,"10,451,182",35%,100%
3,AAT,CTCP Tiên Sơn Thanh Hóa,"63,801,489",50%,100%
4,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,"80,000,000",45%,100%
5,ABT,CTCP XNK Thủy Sản Bến Tre,"11,497,257",11%,100%
6,ACB,Ngân hàng TMCP Á Châu,"2,701,948,075",85%,100%
7,ACC,CTCP Đầu tư và XD Bình Dương ACC,"104,999,993",30%,100%
8,ACL,CTCP XNK Thủy Sản Cửu Long An Giang,"50,159,019",20%,100%
9,ADG,CTCP Clever Group,"19,889,098",30%,100%
10,ADS,CTCP DAMSAN,"38,069,450",60%,100%
11,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,"111,713,195",50%,100%
12,AGM,CTCP Xuất Nhập Khẩu An Giang,"18,200,000",50%,100%
13,AGR,CTCP Chứng khoán Argibank,"211,999,953",30%,100%
14,AMD,CTCP Đầu tư và Khoáng sản FLC STONE,"163,504,874",100%,100%
15,ANV,CTCP Nam Việt (Navico),"127,127,875",20%,100%
16,APC,CTCP Chiếu Xạ An Phú,"19,905,025",35%,100%
17,APG,CTCP Chứng Khoán APG,"146,306,612",75%,100%
18,APH,CTCP Tập đoàn An Phát Holdings,"243,884,268",60%,100%
19,ASG,CTCP Tập đoàn ASG,"75,653,891",70%,100%
20,ASM,CTCP Tập Đoàn Sao Mai,"336,526,752",55%,100%
21,ASP,CTCP Tập Đoàn Dầu Khí Anpha,"37,339,542",45%,100%
22,AST,CTCP Dịch vụ Hàng không Taseco,"45,000,000",35%,100%
23,BBC,CTCP Bibica,"18,752,687",45%,100%
24,BCE,CTCP Xây Dựng và Giao Thông Bình Dương,"35,000,000",60%,100%
25,BCG,CTCP Bamboo Capital,"446,305,437",60%,100%
26,BFC,CTCP Phân bón Bình Điền,"57,167,993",35%,100%
27,BIC,Tổng CTCP Bảo Hiểm NH Đầu Tư và Phát Triển Việt Nam,"117,276,895",15%,100%
28,BID,Ngân hàng TMCP Đầu Tư và Phát triển Việt Nam,"5,058,523,816",4%,100%
29,BKG,CTCP Đầu tư BKG Việt Nam,"32,000,000",70%,100%
30,BMC,CTCP Khoáng Sản Bình Định,"12,392,630",55%,100%
31,BMI,Tổng CTCP Bảo Minh,"109,623,985",30%,100%
32,BMP,CTCP Nhựa Bình Minh,"81,860,938",45%,100%
33,BRC,CTCP Cao Su Bến Thành,"12,374,997",13%,100%
34,BSI,CTCP CK NH Đầu Tư và Phát Triển Việt Nam,"121,570,618",20%,100%
35,BTP,CTCP Nhiệt Điện Bà Rịa,"60,485,600",20%,100%
36,BVH,Tập Đoàn Bảo Việt,"742,322,764",10%,100%
37,BWE,CTCP Nước - Môi trường Bình Dương,"192,920,000",25%,100%
38,C32,CTCP CIC39,"15,030,145",95%,100%
39,C47,CTCP Xây Dựng 47,"27,529,504",70%,100%
40,CCI,CTCP Đầu Tư Phát Triển Công Nghiệp Thương Mại Củ Chi,"17,541,105",40%,100%
41,CCL,CTCP Đầu Tư và Phát Triển Đô Thị Dầu Khí Cửu Long,"47,499,885",65%,100%
42,CDC,CTCP Chương Dương,"21,988,716",55%,100%
43,CHP,CTCP Thủy Điện Miền Trung,"146,912,668",30%,100%
44,CII,CTCP Đầu Tư Hạ Tầng Kỹ Thuật TP.HCM,"251,507,401",85%,100%
45,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,"86,599,781",90%,100%
46,CLC,CTCP Cát Lợi,"26,207,583",40%,100%
47,CLL,CTCP Cảng Cát Lái,"34,000,000",45%,100%
48,CMG,CTCP Tập Đoàn Công Nghệ CMC,"108,998,883",40%,100%
49,CMX,CTCP Camimex Group,"90,817,502",50%,100%
50,CNG,CTCP CNG Việt Nam,"26,999,673",45%,100%
51,CRC,CTCP Create Capital Việt Nam,"30,000,000",75%,100%
52,CRE,CTCP Bất động sản Thế Kỷ,"201,599,449",35%,100%
53,CSM,CTCP Công Nghiệp Cao Su Miền Nam,"103,625,262",40%,100%
54,CSV,CTCP Hóa chất Cơ bản miền Nam,"44,200,000",35%,100%
55,CTD,CTCP Xây Dựng Coteccons,"73,859,473",55%,100%
56,CTF,CTCP City Auto,"72,397,776",55%,100%
57,CTG,Ngân Hàng TMCP Công Thương Việt Nam,"4,805,750,609",15%,100%
58,CTI,CTCP Đầu Tư Phát Triển Cường Thuận Idico,"54,799,997",90%,100%
59,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"114,911,583",25%,100%
60,CVT,CTCP CMC,"36,690,887",50%,100%
61,D2D,CTCP Phát Triển Đô Thị Công Nghiệp Số 2,"30,259,742",45%,100%
62,DAG,CTCP Tập Đoàn Nhựa Đông Á,"59,562,128",65%,100%
63,DAH,CTCP Tập đoàn Khách sạn Đông Á,"84,200,000",45%,100%
64,DBC,CTCP Tập đoàn DABACO Việt Nam,"230,478,860",65%,100%
65,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định,"57,572,359",75%,100%
66,DBT,CTCP Dược phẩm Bến Tre,"14,205,116",80%,100%
67,DC4,CTCP Xây dựng Dic Holdings,"50,000,000",20%,100%
68,DCL,CTCP Dược Phẩm Cửu Long,"73,041,030",25%,100%
69,DCM,CTCP Phân bón Dầu khí Cà Mau,"529,400,000",25%,100%
70,DGC,CTCP Tập đoàn Hóa chất Đức Giang,"171,079,683",60%,100%
71,DGW,CTCP Thế Giới Số,"88,400,556",55%,100%
72,DHA,CTCP Hóa An,"14,726,073",70%,100%
73,DHC,CTCP Đông hải Bến Tre,"69,994,423",65%,100%
74,DHM,CTCP TM và Khai thác Khoáng sản Dương Hiếu,"31,396,180",90%,100%
75,DIG,Tổng CTCP Đầu Tư Phát Triển Xây Dựng,"499,890,962",45%,100%
76,DMC,CTCP XNK Y Tế Domesco,"34,727,465",14%,100%
77,DPG,CTCP Đạt Phương,"62,999,554",55%,100%
78,DPM,Tổng Công ty Phân Bón và Hóa Chất Dầu Khí -CTCP,"391,334,260",45%,100%
79,DPR,CTCP Cao Su Đồng Phú,"43,000,000",45%,100%
80,DQC,CTCP Bóng đèn Điện Quang,"27,558,066",45%,100%
81,DRC,CTCP Cao Su Đà Nẵng,"118,792,605",50%,100%
82,DRH,CTCP DRH Holdings,"120,707,866",100%,100%
83,DSN,CTCP Công Viên Nước Đầm Sen,"12,083,009",55%,100%
84,DTA,CTCP Đệ Tam,"18,059,832",60%,100%
85,DVP,CTCP Đầu Tư và Phát Triển Cảng Đình Vũ,"40,000,000",30%,100%
86,DXG,CTCP Tập đoàn Đất Xanh,"596,025,562",85%,100%
87,DXS,CTCP Dịch vụ Bất động sản Đất Xanh,"358,201,208",45%,100%
88,DXV,CTCP Vicem VLXD Đà Nẵng,"9,900,000",35%,100%
89,EIB,Ngân hàng TMCP XNK Việt Nam,"1,229,432,904",80%,100%
90,ELC,CTCP Đầu Tư Phát Triển Công Nghệ Điện Tử Viễn thông,"50,928,243",65%,100%
91,EVE,CTCP Everpia,"41,091,589",75%,100%
92,EVG,CTCP Tập đoàn Everland,"215,249,836",50%,100%
93,FCM,CTCP Khoáng sản FECON,"45,099,969",50%,100%
94,FCN,CTCP Fecon,"157,439,005",60%,100%
95,FIR,CTCP Địa ốc First Real,"27,039,864",65%,100%
96,FIT,CTCP Tập đoàn F.I.T,"262,730,247",70%,100%
97,FLC,CTCP Tập Đoàn FLC,"709,997,807",70%,100%
98,FMC,CTCP Thực Phẩm Sao Ta,"65,388,889",25%,100%
99,FPT,CTCP FPT,"907,551,649",85%,100%
100,FRT,CTCP Bán lẻ Kỹ thuật số FPT,"78,981,792",55%,100%
101,FTS,CTCP Chứng khoán FPT,"147,566,798",50%,100%
102,GAB,CTCP Đầu tư khai khoáng và Quản lý tài sản FLC,"14,903,987",50%,100%
103,GAS,Tổng Công ty Khí Việt Nam-CTCP,"1,913,950,000",5%,100%
104,GDT,CTCP Chế Biến Gỗ Đức Thành,"19,437,036",50%,100%
105,GEG,CTCP Điện Gia Lai,"303,715,526",30%,100%
106,GEX,CTCP Tập đoàn GELEX,"851,495,793",60%,100%
107,GIL,CTCP SXKD XNK Bình Thạnh,"43,200,000",75%,100%
108,GMC,CTCP Garmex Sài Gòn,"32,950,999",40%,100%
109,GMD,CTCP Gemadept,"301,377,957",85%,100%
110,GSP,CTCP Vận Tải Sản Phẩm Khí Quốc Tế,"55,799,445",35%,100%
111,GTA,CTCP Chế Biến Gỗ Thuận An,"9,830,000",30%,100%
112,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,"4,000,000,000",4%,100%
113,HAH,CTCP Vận tải và Xếp dỡ Hải An,"48,782,751",75%,100%
114,HAI,CTCP Nông Dược Hai,"182,682,799",90%,100%
115,HAP,CTCP Tập Đoàn Hapaco,"110,942,302",80%,100%
116,HAR,CTCP Đầu tư Thương Mại Bất Động Sản An Dương Thảo Điền,"95,684,090",65%,100%
117,HAS,CTCP Hacisco,"7,800,000",35%,100%
118,HAX,CTCP Dịch Vụ Ôtô Hàng Xanh,"49,516,982",65%,100%
119,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,"245,654,354",70%,100%
120,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,"31,589,802",85%,100%
121,HCM,CTCP Chứng Khoán TPHCM,"457,211,949",50%,100%
122,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"1,992,209,120",70%,100%
123,HDC,CTCP Phát Triển Nhà Bà Rịa Vũng Tàu,"86,469,664",80%,100%
124,HDG,CTCP Tập Đoàn Hà Đô,"203,838,815",45%,100%
125,HHP,CTCP Giấy Hoàng Hà Hải Phòng,"30,069,824",50%,100%
126,HHS,CTCP Đầu Tư Dịch Vụ Hoàng Huy,"321,448,153",50%,100%
127,HID,CTCP Halcom Việt Nam,"58,759,391",65%,100%
128,HII,CTCP An Tiến Industries,"73,663,016",50%,100%
129,HMC,CTCP Kim Khí TPHCM - VNSTEEL,"21,000,000",45%,100%
130,HNG,CTCP Nông Nghiệp Quốc tế Hoàng Anh Gia Lai,"1,108,553,895",55%,100%
131,HPG,CTCP Tập Đoàn Hòa Phát,"4,472,922,706",55%,100%
132,HPX,CTCP Đầu tư Hải Phát,"304,168,581",55%,100%
133,HQC,CTCP TV-TM-DV Địa Ốc Hoàng Quân,"476,599,274",90%,100%
134,HSG,CTCP Tập Đoàn Hoa Sen,"493,481,896",80%,100%
135,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,"17,167,144",55%,100%
136,HT1,CTCP Xi Măng Hà Tiên 1,"381,589,911",20%,100%
137,HTI,CTCP Đầu Tư Phát Triển Hạ Tầng Idico,"24,949,200",45%,100%
138,HTL,CTCP Kỹ Thuật và Ôtô Trường Long,"12,000,000",13%,100%
139,HTN,CTCP Hưng Thịnh Incons,"89,116,411",35%,100%
140,HTV,CTCP Logistics Vicem,"13,104,000",30%,100%
141,HUB,CTCP Xây lắp Thừa Thiên Huế,"19,057,316",55%,100%
142,HVH,CTCP Đầu tư và công nghệ HVC,"36,949,995",50%,100%
143,HVX,CTCP Xi Măng Vicem Hải Vân,"41,525,250",30%,100%
144,IBC,CTCP Đầu tư Apax Holdings,"83,150,661",35%,100%
145,ICT,CTCP Viễn thông - Tin học Bưu điện,"32,185,000",60%,100%
146,IDI,CTCP Đầu Tư và Phát Triển Đa Quốc Gia I.D.I,"227,644,608",45%,100%
147,IJC,CTCP Phát Triển Hạ Tầng kỹ Thuật,"217,097,323",50%,100%
148,ILB,CTCP ICD Tân Cảng - Long Bình,"24,502,245",40%,100%
149,IMP,CTCP Dược Phẩm Imexpharm,"66,671,570",11%,100%
150,ITA,CTCP Đầu Tư và Công Nghiệp Tân Tạo,"938,321,575",65%,100%
151,ITC,CTCP Đầu Tư Kinh Doanh Nhà,"87,214,067",60%,100%
152,ITD,CTCP Công Nghệ Tiên Phong,"21,271,466",80%,100%
153,KBC,Tổng Công ty Phát Triển Đô Thị Kinh Bắc -CTCP,"575,711,167",60%,100%
154,KDC,CTCP Tập Đòan KIDO,"251,624,010",55%,100%
155,KDH,CTCP Đầu Tư và Kinh Doanh Nhà Khang Điền,"642,937,069",65%,100%
156,KHG,CTCP Bất động sản Khải Hoàn Land,"318,817,547",25%,100%
157,KHP,CTCP Điện Lực Khánh Hòa,"57,471,442",50%,100%
