Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"382,274,496",50%,100%
2,AAM,CTCP Thủy Sản Mekong,"10,451,182",35%,100%
3,AAT,CTCP Tập đoàn Tiên Sơn Thanh Hóa,"70,819,652",85%,100%
4,ACB,Ngân hàng TMCP Á Châu,"3,884,050,358",85%,100%
5,ACC,CTCP Đầu tư và XD Bình Dương ACC,"104,999,993",30%,100%
6,ACL,CTCP XNK Thủy Sản Cửu Long An Giang,"50,159,019",40%,100%
7,ADG,CTCP Clever Group,"21,380,521",30%,100%
8,ADS,CTCP DAMSAN,"58,395,889",65%,100%
9,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,"125,118,368",55%,100%
10,AGR,CTCP Chứng khoán Argibank,"215,391,262",30%,100%
11,ANV,CTCP Nam Việt ( Navico ),"133,127,875",30%,100%
12,APG,CTCP Chứng Khoán APG,"146,306,612",95%,100%
13,APH,CTCP Tập đoàn An Phát Holdings,"243,884,268",65%,100%
14,ASM,CTCP Tập Đoàn Sao Mai,"336,526,752",60%,100%
15,ASP,CTCP Tập Đoàn Dầu Khí Anpha,"37,339,542",45%,100%
16,BAF,CTCP Nông nghiệp BAF Việt Nam,"143,520,000",60%,100%
17,BCE,CTCP Xây Dựng và Giao Thông Bình Dương,"35,000,000",60%,100%
18,BCG,CTCP Bamboo Capital,"533,467,622",70%,100%
19,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,"1,035,000,000",4%,100%
20,BFC,CTCP Phân bón Bình Điền,"57,167,993",35%,100%
21,BIC,Tổng CTCP Bảo Hiểm NH Đầu Tư và Phát Triển Việt Nam,"117,276,895",15%,100%
22,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"5,058,523,816",4%,100%
23,BKG,CTCP Đầu tư BKG Việt Nam,"68,199,983",70%,100%
24,BMC,CTCP Khoáng Sản Bình Định,"12,392,630",55%,100%
25,BMI,Tổng CTCP Bảo Minh,"109,623,985",30%,100%
26,BMP,CTCP Nhựa Bình Minh,"81,860,938",45%,100%
27,BRC,CTCP Cao Su Bến Thành,"12,374,997",13%,100%
28,BSI,CTCP CK NH Đầu Tư và Phát Triển Việt Nam,"202,278,512",13%,100%
29,BTP,CTCP Nhiệt Điện Bà Rịa,"60,485,600",20%,100%
30,BVH,Tập đoàn Bảo Việt,"742,322,764",10%,100%
31,BWE,CTCP Nước - Môi trường Bình Dương,"192,920,000",30%,100%
