Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"382,274,496",50%,100%
2,AAM,CTCP Thủy sản Mekong,"10,451,182",40%,100%
3,AAT,CTCP Tập đoàn Tiên Sơn Thanh Hóa,"63,801,489",45%,100%
4,ABS,CTCP Dịch vụ Nông Nghiệp Bình Thuận,"80,000,000",65%,100%
5,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"11,777,257",11%,100%
6,ACB,Ngân hàng TMCP Á Châu,"3,377,435,094",85%,100%
7,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,"104,999,993",30%,100%
8,ACL,CTCP Xuất Nhập Khẩu Thủy sản Cửu Long An Giang,"50,159,019",25%,100%
9,ADG,CTCP Clever Group,"19,889,098",30%,100%
10,ADS,CTCP DAMSAN,"43,779,034",60%,100%
11,AGG,CTCP Đầu tư và Phát triển bất động sản An Gia,"111,713,195",55%,100%
12,AGM,CTCP Xuất Nhập Khẩu An Giang,"18,200,000",100%,100%
13,AGR,CTCP Chứng khoán Agribank,"211,999,953",30%,100%
14,ANV,CTCP Nam Việt,"127,127,875",30%,100%
15,APC,CTCP Chiếu xạ An Phú,"19,905,025",35%,100%
16,APG,CTCP Chứng khoán APG,"146,306,612",85%,100%
17,APH,CTCP Tập đoàn An Phát Holdings,"243,884,268",60%,100%
18,ASG,CTCP Tập đoàn ASG,"75,653,891",65%,100%
19,ASM,CTCP Tập đoàn Sao Mai,"336,526,752",50%,100%
20,ASP,CTCP Tập đoàn Dầu khí An Pha,"37,339,542",45%,100%
21,BAF,CTCP Nông nghiệp BAF Việt Nam,"143,520,000",60%,100%
22,BCE,CTCP Xây dựng và Giao thông Bình Dương,"35,000,000",60%,100%
23,BCG,CTCP Bamboo Capital,"533,467,622",55%,100%
24,BFC,CTCP Phân bón Bình Điền,"57,167,993",35%,100%
25,BIC,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,"117,276,895",15%,100%
26,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"5,058,523,816",4%,100%
27,BKG,CTCP Đầu tư BKG Việt Nam,"62,000,000",35%,100%
28,BMC,CTCP Khoáng sản Bình Định,"12,392,630",55%,100%
29,BMI,Tổng CTCP Bảo Minh,"109,623,985",30%,100%
30,BMP,CTCP Nhựa Bình Minh,"81,860,938",45%,100%
31,BRC,CTCP Cao su Bến Thành,"12,374,997",13%,100%
32,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,"187,300,660",20%,100%
33,BTP,CTCP Nhiệt điện Bà Rịa,"60,485,600",20%,100%
34,BVH,Tập đoàn Bảo Việt,"742,322,764",10%,100%
35,BWE,CTCP Nước – Môi trường Bình Dương,"192,920,000",30%,100%
36,C32,CTCP CIC39,"15,030,145",90%,100%
37,C47,CTCP Xây dựng 47,"27,529,504",70%,100%
38,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,"17,541,105",35%,100%
39,CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,"53,199,579",65%,100%
40,CDC,CTCP Chương Dương,"21,988,716",55%,100%
41,CHP,CTCP Thủy điện miền Trung,"146,912,668",30%,100%
42,CII,CTCP Đầu tư Hạ tầng Kỹ thuật TP.HCM,"252,214,999",90%,100%
43,CKG,CTCP Tập đoàn tư vấn đầu tư xây dựng Kiên Giang,"86,599,781",85%,100%
44,CLC,CTCP Cát Lợi,"26,207,583",45%,100%
45,CLL,CTCP Cảng Cát Lái,"34,000,000",45%,100%
46,CMG,CTCP Tập đoàn Công nghệ CMC,"150,004,263",40%,100%
47,CMV,CTCP Thương nghiệp Cà Mau,"18,155,868",20%,100%
48,CMX,CTCP Camimex Group,"101,898,990",45%,100%
49,CNG,CTCP CNG Việt Nam,"26,999,673",45%,100%
50,COM,CTCP Vật tư - Xăng dầu,"14,120,628",14%,100%
51,CRC,CTCP Create Capital Việt Nam,"30,000,000",75%,100%
52,CRE,CTCP Bất động sản Thế kỷ,"463,678,732",35%,100%
53,CSM,CTCP Công nghiệp Cao su Miền Nam,"103,625,262",45%,100%
54,CSV,CTCP Hóa chất cơ bản miền Nam,"44,200,000",35%,100%
55,CTD,CTCP Xây dựng COTECCONS,"73,859,473",55%,100%
56,CTF,CTCP CITY AUTO,"76,017,542",60%,100%
57,CTG,Ngân hàng TMCP Công Thương Việt Nam,"4,805,750,609",15%,100%
58,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,"54,799,997",90%,100%
59,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"148,701,349",25%,100%
60,D2D,CTCP Phát triển Đô thị Công nghiệp số 2,"30,259,742",45%,100%
61,DAG,CTCP Tập đoàn Nhựa Đông Á,"59,562,128",65%,100%
62,DAH,CTCP Tập đoàn Khách sạn Đông Á,"84,200,000",45%,100%
63,DBC,CTCP Tập đoàn DABACO Việt Nam,"242,001,859",70%,100%
64,DBD,CTCP Dược – Trang thiết bị Y tế Bình Định,"74,843,474",80%,100%
65,DBT,CTCP Dược Phẩm Bến Tre,"14,205,116",75%,100%
66,DC4,CTCP Xây dựng DIC Holdings,"52,499,723",25%,100%
67,DCL,CTCP Dược phẩm Cửu Long,"73,041,030",20%,100%
68,DCM,CTCP Phân bón Dầu Khí Cà Mau,"529,400,000",25%,100%
