Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"296,759,974",50%,100%
2,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,"80,000,000",35%,100%
3,ACB,Ngân hàng TMCP Á Châu,"2,701,948,075",85%,100%
4,ACC,CTCP Đầu tư và XD Bình Dương ACC,"30,000,000",25%,100%
5,ACL,CTCP XNK Thủy Sản Cửu Long An Giang,"50,159,019",20%,100%
6,ADS,CTCP DAMSAN,"28,069,450",55%,100%
7,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,"82,750,577",65%,100%
8,AGM,CTCP Xuất Nhập Khẩu An Giang,"18,200,000",65%,100%
9,AGR,CTCP Chứng khoán Argibank,"211,199,953",25%,100%
10,AMD,CTCP Đầu tư và Khoáng sản FLC STONE,"163,504,874",100%,100%
11,ANV,CTCP Nam Việt ( Navico ),"127,127,875",20%,100%
12,APC,CTCP Chiếu Xạ An Phú,"19,905,025",35%,100%
13,APG,CTCP Chứng Khoán APG,"73,162,035",90%,100%
14,APH,CTCP Tập đoàn An Phát Holdings,"195,107,442",65%,100%
15,ASM,CTCP Tập Đoàn Sao Mai,"258,867,849",55%,100%
16,ASP,CTCP Tập Đoàn Dầu Khí Anpha,"37,339,542",45%,100%
17,AST,CTCP Dịch vụ Hàng không Taseco,"45,000,000",35%,100%
18,BCE,CTCP Xây Dựng và Giao Thông Bình Dương,"35,000,000",55%,100%
19,BCG,CTCP Bamboo Capital,"207,537,174",55%,100%
20,BFC,CTCP Phân bón Bình Điền,"57,167,993",35%,100%
21,BIC,Tổng CTCP Bảo Hiểm NH Đầu Tư và Phát Triển,"117,276,895",15%,100%
22,BID,Ngân hàng TMCP Đầu Tư và Phát triển Việt Nam,"4,022,018,040",4%,100%
23,BKG,CTCP Đầu tư BKG Việt Nam,"32,000,000",60%,100%
24,BMC,CTCP Khoáng Sản Bình Định,"12,392,630",55%,100%
25,BMI,Tổng CTCP Bảo Minh,"91,354,037",30%,100%
26,BMP,CTCP Nhựa Bình Minh,"81,860,938",50%,100%
27,BRC,CTCP Cao Su Bến Thành,"12,374,997",13%,100%
28,BTP,CTCP Nhiệt Điện Bà Rịa,"60,485,600",20%,100%
29,BVH,Tập Đoàn Bảo Việt,"742,322,764",10%,100%
30,BWE,CTCP Nước - Môi trường Bình Dương,"192,920,000",25%,100%
31,C32,CTCP CIC39,"15,030,145",85%,100%
32,C47,CTCP Xây Dựng 47,"18,722,143",75%,100%
33,CCI,CTCP Đầu Tư Phát Triển Công Nghiệp Thương Mại,"17,541,105",40%,100%
34,CCL,CTCP Đầu Tư và Phát Triển Đô Thị Dầu Khí Cửu,"47,499,885",65%,100%
35,CDC,CTCP Chương Dương,"21,988,716",55%,100%
36,CEE,CTCP Xây dựng hạ tầng CII,"39,500,000",15%,100%
37,CII,CTCP Đầu Tư Hạ Tầng Kỹ Thuật TP.HCM,"238,838,282",70%,100%
38,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên,"82,499,781",80%,100%
39,CLC,CTCP Cát Lợi,"26,207,583",40%,100%
40,CMG,CTCP Tập Đoàn Công Nghệ CMC,"99,999,866",40%,100%
41,CMX,CTCP Camimex Group,"30,408,751",45%,100%
42,CNG,CTCP CNG Việt Nam,"26,999,673",45%,100%
43,CRC,CTCP Create Capital Việt Nam,"15,000,000",80%,100%
44,CRE,CTCP Bất động sản Thế Kỷ,"95,999,800",45%,100%
45,CSM,CTCP Công Nghiệp Cao Su Miền Nam,"103,625,262",40%,100%
46,CSV,CTCP Hóa chất Cơ bản miền Nam,"44,200,000",35%,100%
47,CTD,CTCP Xây Dựng Coteccons,"74,283,673",55%,100%
48,CTF,CTCP City Auto,"68,300,000",60%,100%
49,CTG,Ngân Hàng TMCP Công Thương Việt Nam,"4,805,779,643",15%,100%
50,CTI,CTCP Đầu Tư Phát Triển Cường Thuận Idico,"54,799,997",90%,100%
51,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt,"106,399,614",25%,100%
52,CVT,CTCP CMC,"36,690,887",50%,100%
53,D2D,CTCP Phát Triển Đô Thị Công Nghiệp Số 2,"30,259,742",40%,100%
54,DAG,CTCP Tập Đoàn Nhựa Đông Á,"59,562,169",50%,100%
55,DAH,CTCP Tập đoàn Khách sạn Đông Á,"34,200,000",100%,100%
56,DBC,CTCP Tập đoàn DABACO Việt Nam,"115,239,430",65%,100%
57,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định,"57,572,359",75%,100%
58,DBT,CTCP Dược phẩm Bến Tre,"14,205,116",55%,100%
59,DC4,CTCP Xây dựng Dic Holdings,"33,599,745",20%,100%
60,DCL,CTCP Dược Phẩm Cửu Long,"56,832,824",30%,100%
61,DCM,CTCP Phân bón Dầu khí Cà Mau,"529,400,000",25%,100%
62,DGC,CTCP Tập đoàn Hóa chất Đức Giang,"171,079,683",50%,100%
63,DGW,CTCP Thế Giới Số,"43,000,278",60%,100%
64,DHA,CTCP Hóa An,"14,726,073",55%,100%
65,DHC,CTCP Đông hải Bến Tre,"55,995,783",70%,100%
66,DHM,CTCP TM và Khai thác Khoáng sản Dương Hiếu,"31,396,180",75%,100%
67,DIG,Tổng CTCP Đầu Tư Phát Triển Xây Dựng,"409,890,962",40%,100%
68,DMC,CTCP XNK Y Tế Domesco,"34,727,465",14%,100%
69,DPG,CTCP Đạt Phương,"62,999,734",55%,100%
70,DPM,Tổng Cty Phân Bón và Hóa Chất Dầu Khí -CTCP,"391,334,260",40%,100%
71,DPR,CTCP Cao Su Đồng Phú,"43,000,000",45%,100%
72,DQC,CTCP Bóng đèn Điện Quang,"27,558,066",40%,100%
73,DRC,CTCP Cao Su Đà Nẵng,"118,792,605",50%,100%
74,DRH,CTCP DRH Holdings,"60,353,933",100%,100%
75,DSN,CTCP Công Viên Nước Đầm Sen,"12,083,009",55%,100%
76,DTA,CTCP Đệ Tam,"18,059,832",60%,100%
77,DVP,CTCP Đầu Tư và Phát Triển Cảng Đình Vũ,"40,000,000",30%,100%
78,DXG,CTCP Tập đoàn Đất Xanh,"518,287,181",85%,100%
79,DXV,CTCP Vicem VLXD Đà Nẵng,"9,900,000",35%,100%
80,EIB,Ngân hàng TMCP XNK Việt Nam,"1,229,432,904",85%,100%
81,ELC,CTCP Đầu Tư Phát Triển Công Nghệ Điện Tử Viễn,"50,618,648",70%,100%
82,EVE,CTCP Everpia,"38,047,973",80%,100%
83,EVG,CTCP Tập đoàn Everland,"105,000,000",50%,100%
84,FCM,CTCP Khoáng sản FECON,"41,000,000",35%,100%
85,FCN,CTCP Fecon,"125,439,005",75%,100%
86,FIR,CTCP Địa ốc First Real,"27,039,864",55%,100%
87,FIT,CTCP Tập đoàn F.I.T,"254,730,247",50%,100%
88,FLC,CTCP Tập Đoàn FLC,"709,997,807",70%,100%
89,FMC,CTCP Thực Phẩm Sao Ta,"58,850,000",30%,100%
90,FPT,CTCP FPT,"907,469,273",85%,100%
91,FRT,CTCP Bán lẻ Kỹ thuật số FPT,"78,981,792",55%,100%
92,FTS,CTCP Chứng khoán FPT,"145,492,979",50%,100%
93,GAB,CTCP Đầu tư khai khoáng và Quản lý tài sản FLC,"13,800,000",50%,100%
94,GAS,Tổng Công ty Khí Việt Nam-CTCP,"1,913,950,000",5%,100%
95,GDT,CTCP Chế Biến Gỗ Đức Thành,"16,867,808",60%,100%
96,GEG,CTCP Điện Gia Lai,"271,175,188",30%,100%
97,GEX,CTCP Tập đoàn GELEX,"781,190,400",65%,100%
98,GIL,CTCP SXKD XNK Bình Thạnh,"36,000,000",75%,100%
99,GMC,CTCP Garmex Sài Gòn,"29,956,020",35%,100%
100,GMD,CTCP Gemadept,"301,377,957",85%,100%
101,GSP,CTCP Vận Tải Sản Phẩm Khí Quốc Tế,"36,000,000",25%,100%
102,GTA,CTCP Chế Biến Gỗ Thuận An,"9,830,000",25%,100%
103,GTN,CTCP GTNFOODS,"250,000,000",25%,100%
104,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,"4,000,000,000",4%,100%
105,HAH,CTCP Vận tải và Xếp dỡ Hải An,"47,392,798",70%,100%
106,HAI,CTCP Nông Dược Hai,"182,682,799",90%,100%
107,HAR,CTCP Đầu tư Thương Mại Bất Động Sản An Dương,"95,684,090",60%,100%
108,HAS,CTCP Hacisco,"7,800,000",35%,100%
109,HAX,CTCP Dịch Vụ Ôtô Hàng Xanh,"47,766,982",60%,100%
