Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"382,274,496",50%,100%
2,AAM,CTCP Thủy Sản Mekong,"10,451,182",30%,100%
3,AAT,CTCP Tập đoàn Tiên Sơn Thanh Hóa,"63,801,489",45%,100%
4,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,"80,000,000",65%,100%
5,ABT,CTCP XNK Thủy Sản Bến Tre,"11,777,257",11%,100%
6,ACB,Ngân hàng TMCP Á Châu,"3,377,435,094",85%,100%
7,ACC,CTCP Đầu tư và XD Bình Dương ACC,"104,999,993",30%,100%
8,ACL,CTCP XNK Thủy Sản Cửu Long An Giang,"50,159,019",35%,100%
9,ADG,CTCP Clever Group,"21,380,521",30%,100%
10,ADS,CTCP DAMSAN,"43,779,034",60%,100%
11,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,"125,118,368",55%,100%
12,AGM,CTCP Xuất Nhập Khẩu An Giang,"18,200,000",95%,100%
13,AGR,CTCP Chứng khoán Argibank,"215,396,262",30%,100%
14,ANV,CTCP Nam Việt ( Navico ),"127,127,875",30%,100%
15,APC,CTCP Chiếu Xạ An Phú,"19,905,025",35%,100%
16,APG,CTCP Chứng Khoán APG,"146,306,612",85%,100%
17,APH,CTCP Tập đoàn An Phát Holdings,"243,884,268",60%,100%
18,ASM,CTCP Tập Đoàn Sao Mai,"336,526,752",60%,100%
19,ASP,CTCP Tập Đoàn Dầu Khí Anpha,"37,339,542",45%,100%
20,BAF,CTCP Nông nghiệp BAF Việt Nam,"143,520,000",55%,100%
21,BCE,CTCP Xây Dựng và Giao Thông Bình Dương,"35,000,000",60%,100%
22,BCG,CTCP Bamboo Capital,"533,467,622",60%,100%
23,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,"1,035,000,000",4%,100%
24,BFC,CTCP Phân bón Bình Điền,"57,167,993",35%,100%
25,BIC,Tổng CTCP Bảo Hiểm NH Đầu Tư và Phát Triển Việt Nam,"117,276,895",15%,100%
26,BID,Ngân hàng TMCP Đầu Tư và Phát triển Việt Nam,"5,058,523,816",4%,100%
27,BKG,CTCP Đầu tư BKG Việt Nam,"68,199,983",40%,100%
28,BMC,CTCP Khoáng Sản Bình Định,"12,392,630",55%,100%
29,BMI,Tổng CTCP Bảo Minh,"109,623,985",30%,100%
30,BMP,CTCP Nhựa Bình Minh,"81,860,938",50%,100%
31,BRC,CTCP Cao Su Bến Thành,"12,374,997",13%,100%
32,BSI,CTCP CK NH Đầu Tư và Phát Triển Việt Nam,"187,300,660",13%,100%
33,BTP,CTCP Nhiệt Điện Bà Rịa,"60,485,600",20%,100%
34,BVH,Tập Đoàn Bảo Việt,"742,322,764",10%,100%
35,BWE,CTCP Nước - Môi trường Bình Dương,"192,920,000",30%,100%
36,C32,CTCP CIC39,"15,030,145",95%,100%
37,C47,CTCP Xây Dựng 47,"27,529,504",70%,100%
38,CCI,CTCP Đầu Tư Phát Triển Công Nghiệp Thương Mại Củ Chi,"17,541,105",30%,100%
39,CCL,CTCP Đầu Tư và Phát Triển Đô Thị Dầu Khí Cửu Long,"53,199,579",65%,100%
40,CDC,CTCP Chương Dương,"21,988,716",60%,100%
41,CHP,CTCP Thủy Điện Miền Trung,"146,912,668",30%,100%
42,CIG,CTCP Coma 18,"31,539,947",45%,100%
43,CII,CTCP Đầu Tư Hạ Tầng Kỹ Thuật TP.HCM,"252,214,999",90%,100%
44,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,"95,259,361",80%,100%
45,CLC,CTCP Cát Lợi,"26,207,583",45%,100%
46,CLL,CTCP Cảng Cát Lái,"34,000,000",45%,100%
47,CMG,CTCP Tập Đoàn Công Nghệ CMC,"150,001,432",40%,100%
48,CMV,CTCP Thương Nghiệp Cà Mau,"18,155,868",20%,100%
49,CMX,CTCP Camimex Group,"101,898,990",45%,100%
50,CNG,CTCP CNG Việt Nam,"26,999,673",45%,100%
51,COM,CTCP Vật Tư Xăng Dầu,"14,120,628",14%,100%
52,CRC,CTCP Create Capital Việt Nam,"30,000,000",75%,100%
53,CRE,CTCP Bất động sản Thế Kỷ,"463,678,426",35%,100%
54,CSM,CTCP Công Nghiệp Cao Su Miền Nam,"103,625,262",45%,100%
55,CSV,CTCP Hóa chất Cơ bản miền Nam,"44,200,000",35%,100%
56,CTD,CTCP Xây Dựng Coteccons,"73,859,473",55%,100%
57,CTF,CTCP City Auto,"76,017,542",60%,100%
58,CTG,Ngân Hàng TMCP Công Thương Việt Nam,"4,805,750,609",15%,100%
59,CTI,CTCP Đầu Tư Phát Triển Cường Thuận Idico,"54,799,997",90%,100%
60,CTR,Tổng CTCP Công trình Viettel,"114,385,879",35%,100%
61,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"148,701,349",25%,100%
62,D2D,CTCP Phát Triển Đô Thị Công Nghiệp Số 2,"30,259,742",45%,100%
63,DAG,CTCP Tập Đoàn Nhựa Đông Á,"59,562,128",65%,100%
64,DAH,CTCP Tập đoàn Khách sạn Đông Á,"84,200,000",90%,100%
65,DBC,CTCP Tập đoàn DABACO Việt Nam,"242,001,859",70%,100%
66,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định,"74,843,474",85%,100%
67,DBT,CTCP Dược phẩm Bến Tre,"14,205,116",75%,100%
68,DC4,CTCP Xây dựng Dic Holdings,"52,499,723",25%,100%
69,DCL,CTCP Dược Phẩm Cửu Long,"73,041,030",25%,100%
70,DCM,CTCP Phân bón Dầu khí Cà Mau,"529,400,000",25%,100%
71,DGC,CTCP Tập đoàn Hóa chất Đức Giang,"379,778,413",60%,100%
72,DGW,CTCP Thế Giới Số,"163,075,474",55%,100%
73,DHA,CTCP Hóa An,"14,726,073",75%,100%
74,DHC,CTCP Đông hải Bến Tre,"80,493,586",70%,100%
75,DHM,CTCP TM và Khai thác Khoáng sản Dương Hiếu,"31,396,180",90%,100%
76,DIG,Tổng CTCP Đầu Tư Phát Triển Xây Dựng,"609,851,995",70%,100%
77,DLG,CTCP Tập Đoàn Đức Long Gia Lai,"299,309,720",75%,100%
78,DMC,CTCP XNK Y Tế Domesco,"34,727,465",14%,100%
79,DPG,CTCP Đạt Phương,"62,999,554",55%,100%
80,DPM,Tổng Cty Phân Bón và Hóa Chất Dầu Khí -CTCP,"391,334,260",45%,100%
81,DPR,CTCP Cao Su Đồng Phú,"43,000,000",45%,100%
82,DQC,CTCP Bóng đèn Điện Quang,"27,558,066",45%,100%
83,DRC,CTCP Cao Su Đà Nẵng,"118,792,605",50%,100%
84,DRH,CTCP DRH Holdings,"123,707,866",90%,100%
85,DSN,CTCP Công Viên Nước Đầm Sen,"12,083,009",60%,100%
86,DTA,CTCP Đệ Tam,"18,059,832",55%,100%
87,DVP,CTCP Đầu Tư và Phát Triển Cảng Đình Vũ,"40,000,000",30%,100%
88,DXG,CTCP Tập đoàn Đất Xanh,"610,031,516",80%,100%
89,DXS,CTCP Dịch vụ Bất động sản Đất Xanh,"453,122,377",40%,100%
90,DXV,CTCP Vicem VLXD Đà Nẵng,"9,900,000",35%,100%
91,EIB,Ngân hàng TMCP XNK Việt Nam,"1,229,432,904",80%,100%
92,ELC,CTCP Công nghệ - Viễn thông ELCOM,"58,778,843",60%,100%
93,EVE,CTCP Everpia,"41,979,773",75%,100%
94,EVF,Công ty Tài chính Cổ phần Điện lực,"351,064,031",95%,100%
95,EVG,CTCP Tập đoàn Everland,"215,249,836",35%,100%
96,FCM,CTCP Khoáng sản FECON,"45,099,969",50%,100%
97,FCN,CTCP Fecon,"157,439,005",60%,100%
98,FDC,CTCP Ngoại Thương và Phát Triển Đầu Tư TPHCM,"38,623,488",75%,100%
99,FIR,CTCP Địa ốc First Real,"44,615,015",70%,100%
100,FIT,CTCP Tập đoàn F.I.T,"339,933,034",65%,100%
101,FMC,CTCP Thực Phẩm Sao Ta,"65,388,889",20%,100%
102,FPT,CTCP FPT,"1,097,026,572",85%,100%
103,FRT,CTCP Bán lẻ Kỹ thuật số FPT,"118,472,535",55%,100%
104,FTS,CTCP Chứng khoán FPT,"195,059,951",55%,100%
105,GAS,Tổng Công ty Khí Việt Nam-CTCP,"1,913,950,000",5%,100%
106,GDT,CTCP Chế Biến Gỗ Đức Thành,"21,301,539",50%,100%
107,GEG,CTCP Điện Gia Lai,"321,936,902",30%,100%
108,GEX,CTCP Tập đoàn GELEX,"851,495,793",65%,100%
109,GIL,CTCP SXKD XNK Bình Thạnh,"68,999,286",60%,100%
110,GMD,CTCP Gemadept,"301,377,957",90%,100%
111,GMH,CTCP Minh Hưng Quảng Trị,"16,500,000",50%,100%
112,GSP,CTCP Vận Tải Sản Phẩm Khí Quốc Tế,"55,799,445",35%,100%
113,GTA,CTCP Chế Biến Gỗ Thuận An,"9,830,000",30%,100%
114,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,"4,000,000,000",4%,100%
115,HAH,CTCP Vận tải và Xếp dỡ Hải An,"70,344,667",80%,100%
116,HAP,CTCP Tập Đoàn Hapaco,"110,942,302",80%,100%
117,HAR,CTCP Đầu tư Thương Mại Bất Động Sản An Dương Thảo Điền,"95,684,090",65%,100%
118,HAS,CTCP Hacisco,"7,800,000",35%,100%
119,HAX,CTCP Dịch Vụ Ôtô Hàng Xanh,"56,943,434",70%,100%
120,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,"274,133,270",65%,100%
121,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,"31,589,802",65%,100%
122,HCM,CTCP Chứng Khoán TPHCM,"457,211,949",50%,100%
123,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"2,515,261,400",70%,100%
124,HDC,CTCP Phát Triển Nhà Bà Rịa Vũng Tàu,"108,085,693",85%,100%
125,HDG,CTCP Tập Đoàn Hà Đô,"244,605,898",55%,100%
126,HHP,CTCP Giấy Hoàng Hà Hải Phòng,"32,023,810",70%,100%
127,HHS,CTCP Đầu Tư Dịch Vụ Hoàng Huy,"321,448,153",50%,100%
128,HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,"307,804,450",65%,100%
129,HID,CTCP Halcom Việt Nam,"76,759,391",50%,100%
130,HII,CTCP An Tiến Industries,"73,663,016",45%,100%
131,HMC,CTCP Kim Khí TPHCM - VNSTEEL,"27,299,999",45%,100%
132,HNG,CTCP Nông Nghiệp Quốc tế Hoàng Anh Gia Lai,"1,108,553,895",55%,100%
133,HPG,CTCP Tập Đoàn Hòa Phát,"5,814,785,700",55%,100%
134,HPX,CTCP Đầu tư Hải Phát,"304,168,581",80%,100%
135,HQC,CTCP TV-TM-DV Địa Ốc Hoàng Quân,"476,599,274",90%,100%
136,HSG,CTCP Tập Đoàn Hoa Sen,"598,054,986",80%,100%
137,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,"35,383,508",50%,100%
