Stt,Symbol,Name,KLLH,Free_Float,Limit
1,AAA,CTCP Nhựa An Phát Xanh,"2 21,759,974",50%,100%
2,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,"3 7,439,873",60%,100%
3,ACC,CTCP Đầu tư và XD Bình Dương ACC,"3 0,000,000",30%,100%
4,ACL,CTCP XNK Thủy Sản Cửu Long An Giang,"5 0,159,019",25%,100%
5,ADS,CTCP DAMSAN,"2 8,069,450",40%,100%
6,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,"8 2,393,100",55%,100%
7,AGM,CTCP Xuất Nhập Khẩu An Giang,"1 8,200,000",20%,100%
8,AGR,CTCP Chứng khoán Argibank,"2 11,199,953",25%,100%
9,AMD,Công ty cổ phần Đầu tư và Khoáng sản FLC STONE,"1 63,504,874",100%,100%
10,ANV,CTCP Nam Việt ( Navico ),"1 27,127,875",20%,100%
11,APC,CTCP Chiếu Xạ An Phú,"1 9,905,025",35%,100%
12,APG,CTCP Chứng Khoán APG,"3 4,028,900",90%,100%
13,ASM,CTCP Tập Đoàn Sao Mai,"2 58,867,849",55%,100%
14,ASP,CTCP Tập Đoàn Dầu Khí Anpha,"3 7,339,542",45%,100%
15,AST,CTCP Dịch vụ Hàng không Taseco,"4 5,000,000",35%,100%
16,BCE,CTCP Xây Dựng và Giao Thông Bình Dương,"3 0,000,000",45%,100%
17,BCG,CTCP Bamboo Capital,"1 36,005,760",50%,100%
18,BFC,CTCP Phân bón Bình Điền,"5 7,167,993",35%,100%
19,BIC,Tổng CTCP Bảo Hiểm NH Đầu Tư và Phát Triển Việt Nam,"1 17,276,895",15%,100%
20,BID,Ngân hàng TMCP Đầu Tư và Phát triển Việt Nam,"4 ,022,018,040",4%,100%
21,BMC,CTCP Khoáng Sản Bình Định,"1 2,392,630",55%,100%
22,BMI,Tổng CTCP Bảo Minh,"9 1,354,037",25%,100%
23,BMP,CTCP Nhựa Bình Minh,"8 1,860,938",45%,100%
24,BSI,CTCP CK NH Đầu Tư và Phát Triển Việt Nam,"1 21,570,689",20%,100%
25,BTP,CTCP Nhiệt Điện Bà Rịa,"6 0,485,600",20%,100%
26,BVH,Tập Đoàn Bảo Việt,"7 42,322,764",10%,100%
27,BWE,CTCP Nước - Môi trường Bình Dương,"1 87,500,000",30%,100%
28,C32,CTCP CIC39,"1 5,030,145",85%,100%
29,C47,CTCP Xây Dựng 47,"1 8,722,143",95%,100%
30,CCL,CTCP Đầu Tư và Phát Triển Đô Thị Dầu Khí Cửu Long,"4 7,499,885",65%,100%
31,CDC,CTCP Chương Dương,"2 1,988,968",55%,100%
32,CEE,CTCP Xây dựng hạ tầng CII,"3 9,500,000",25%,100%
33,CII,CTCP Đầu Tư Hạ Tầng Kỹ Thuật TP.HCM,"2 38,838,282",80%,100%
34,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,"5 2,499,781",65%,100%
35,CLC,CTCP Cát Lợi,"2 6,207,583",45%,100%
36,CMG,CTCP Tập Đoàn Công Nghệ CMC,"9 9,999,866",40%,100%
37,CMX,CTCP Camimex Group,"3 0,408,751",50%,100%
38,CNG,CTCP CNG Việt Nam,"2 6,999,673",45%,100%
39,CRC,CTCP Create Capital Việt Nam,"1 5,000,000",80%,100%
40,CRE,CTCP Bất động sản Thế Kỷ,"9 5,999,870",50%,100%
41,CSM,CTCP Công Nghiệp Cao Su Miền Nam,"1 03,625,262",30%,100%
42,CSV,CTCP Hóa chất Cơ bản miền Nam,"4 4,200,000",35%,100%
43,CTD,CTCP Xây Dựng Coteccons,"7 6,292,573",55%,100%
44,CTF,CTCP City Auto,"6 8,309,952",55%,100%
45,CTG,Ngân Hàng TMCP Công Thương Việt Nam,"3 ,723,404,556",15%,100%
46,CTI,CTCP Đầu Tư Phát Triển Cường Thuận Idico,"5 4,799,997",90%,100%
47,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,"1 06,399,614",25%,100%
48,CVT,CTCP CMC,"3 6,690,887",95%,100%
49,D2D,CTCP Phát Triển Đô Thị Công Nghiệp Số 2,"3 0,259,742",40%,100%
50,DAG,CTCP Tập Đoàn Nhựa Đông Á,"5 1,793,792",50%,100%
51,DAH,CTCP Tập đoàn Khách sạn Đông Á,"3 4,200,000",70%,100%
52,DBC,CTCP Tập đoàn DABACO Việt Nam,"1 04,763,911",70%,100%
53,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định,"5 2,378,915",80%,100%
54,DCL,CTCP Dược Phẩm Cửu Long,"5 6,832,824",30%,100%
55,DCM,CTCP Phân bón Dầu khí Cà Mau,"5 29,400,000",25%,100%
56,DGW,CTCP Thế Giới Số,"4 3,000,278",45%,100%
57,DHA,CTCP Hóa An,"1 4,726,073",60%,100%
58,DHC,CTCP Đông hải Bến Tre,"5 5,995,783",75%,100%
